filename,fractal_dimension,entropy,lacunarity,SRE,LRE,RPC,Minor_Axis_Length,Solidity,Integrated_Density,Label
GBM-Grade IV-3.jpg,1.5119202777466203,4.820922086323981,0.0150875586225789,2.284,251.627,21.716,1.79091659535258,0.942411434673492,97375803.0,1
GBM-Grade IV Age-47.jpg,1.6970631980654785,5.463209301585389,0.0199457520938203,2.522,33.504,33.788,2.542187001434247,0.8904979841584758,104161879.0,1
GBM-Grade IV-C7.jpg,1.511084696958597,6.216089752581781,0.0319469182017927,2.492,24.685,32.252,1.0954190978148286,0.9647310877884702,45657986.0,1
GBM-Grade IV-1.jpg,1.6723723063664555,5.755330973322613,0.0228785365316103,2.539,23.623,36.928,1.809838804317777,0.9139430808926056,95204615.0,1
GBM-Grade IV-D4.jpg,1.781810459626737,5.986614861391926,0.0292435239137052,2.818,20.184,38.583,2.99530873379966,0.8691050365977034,100373346.0,1
GBM-Grade IV-12.jpg,1.7511335944912818,5.260410850824806,0.0253900118199482,2.863,14.922,42.258,3.350566222650487,0.8813618468780213,116192650.0,1
GBM-Grade IV-C10.jpg,1.7264204323095116,6.412646095882216,0.0324773735855324,2.599,19.717,35.769,1.8582989007521604,0.9038276823007488,62114394.0,1
GBM-Grade IV-D3.jpg,1.7692540023657048,6.319928451772274,0.0288933978342296,2.747,16.276,38.92,2.2044833974348537,0.8838597182025811,72872151.0,1
GBM-Grade IV-10.jpg,1.7074617657297972,5.423775152826891,0.0445749776647427,2.994,35.682,40.531,1.9652615803925733,0.8948126001329546,101319241.0,1
GBM-Grade IV-C8.jpg,1.5369737235208965,6.330361289893529,0.0463863863794232,2.576,24.03,33.816,1.274688289400529,0.9538305650126166,55411924.0,1
GBM-Grade IV-C9.jpg,1.724627198944806,6.09011106386725,0.0298700936976514,2.694,17.878,39.052,2.037243682197864,0.8935502284914082,78157394.0,1
GBM-Grade IV-4.jpg,1.5936200885061995,5.509989310628607,0.0152387397025892,2.282,44.553,28.769,1.6460062494533934,0.9426848974655708,85884973.0,1
GBM-Grade IV-C6.jpg,1.7419027595387024,5.852143061655653,0.0354823883634151,2.831,14.364,42.274,2.272736257511844,0.902210027397089,96529889.0,1
GBM-Grade IV-D1.jpg,1.7550819937773676,6.292444973111298,0.0186106446474605,2.493,42.458,29.724,1.7193178787272996,0.898774357551013,85181867.0,1
GBM-Grade IV-C3.jpg,1.5595105829700229,5.934666052123705,0.0322923079741996,2.633,19.127,35.931,1.1301680784433974,0.9418714679781308,65829163.0,1
GBM-Grade IV-C5.jpg,1.7427633348349154,6.279767796639376,0.0343411626319452,2.687,17.984,38.39,2.2099913942519698,0.8914339184140323,72629016.0,1
GBM-Grade IV-D2.jpg,1.6984021563767944,6.025180457745977,0.0231722789206239,2.608,22.951,36.544,1.4226074020534885,0.9238053735636306,70576637.0,1
GBM-Grade IV-C4.jpg,1.7384302960937277,6.143126218614112,0.0407413208862289,2.936,12.59,43.7,2.238905685575601,0.8874992190835275,79532817.0,1
GBM-Grade IV-2.jpg,1.7256206036224877,5.308021191993372,0.0147538067917148,2.44,29.6,32.341,2.228087195357256,0.909091917190077,105726890.0,1
GBM-Grade IV-11.jpg,1.7882668288047652,6.070085541708931,0.0300391971940217,2.81,15.921,41.765,2.634951548329253,0.916440431634012,120815108.0,1
GBM-Grade IV-5.jpg,1.4016798188441757,5.819151013047141,0.0147836914786546,2.013,115.886,20.067,1.5831202267227351,0.96385400339868,66247687.0,1
GBM-Grade IV-9.jpg,1.662875161890899,5.863124330411157,0.0530418422635331,2.892,13.472,44.699,1.3612585756970637,0.9241127994014076,92709320.0,1
GBM-Grade IV-G8.jpg,1.7725830381315422,5.587278763602276,0.0137724639180081,2.324,61.269,26.769,2.284101123640772,0.8837430932971502,91667040.0,1
GBM-Grade IV-D8.jpg,1.639413208541506,6.186077892514962,0.030692137205564,2.467,25.279,34.412,1.812342049030472,0.9202918903135704,65307581.0,1
GBM-Grade IV-E8.jpg,1.7897151621219156,6.17972512332247,0.0283528758405858,2.784,16.082,39.899,3.288249411778225,0.8695544533783323,95088367.0,1
GBM-Grade IV-D7.jpg,1.635153362973116,5.998483282165236,0.0416323919160193,2.467,31.62,33.766,1.965790962512,0.9239329586141004,82505888.0,1
GBM-Grade IV-F3(1).jpg,1.7575841045933556,6.288287308677644,0.02585822925224,2.645,22.411,36.354,1.9267792881048416,0.9090188015836876,62399541.0,1
GBM-Grade IV-G2.jpg,1.591157533877935,5.95607200347447,0.0220751184469205,2.412,34.609,31.888,1.7276891005742632,0.9324199952827972,71123186.0,1
GBM-Grade IV-E7(2).jpg,1.7723474597191884,5.947349248776541,0.026402853906309,2.768,16.712,40.29,3.2567660744456,0.8652046894264068,92402548.0,1
GBM-Grade IV-F1(1).jpg,1.7635172716132572,6.395114212539035,0.0327269749856698,2.648,22.692,37.504,2.680285692571446,0.880575557862073,97005023.0,1
GBM-Grade IV-E8(2).jpg,1.7897151621219156,6.17972512332247,0.0283528758405858,2.784,16.082,39.899,3.288249411778225,0.8695544533783323,95088367.0,1
GBM-Grade IV-F9.jpg,1.7586848251388334,6.224562736371103,0.0358439941715751,2.79,16.73,41.161,2.740610568898288,0.8841482661469361,90304766.0,1
GBM-Grade IV-F2(2).jpg,1.7587428426013934,6.034501305552364,0.0203114073728972,2.53,25.153,35.32,1.9901046056539504,0.8877026586971632,85842705.0,1
GBM-Grade IV-F8.jpg,1.604327095371681,5.418349742540437,0.0224333984795787,2.365,35.159,31.314,2.0542156146357278,0.9133779800156754,90095027.0,1
